    1,  0.1026382763E+02
    2,  0.9232493021E+01
    3,  0.1169864014E+02
    4,  0.8743537239E+01
    5,  0.1024033740E+02
    6,  0.8845385200E+01
    7,  0.8063328777E+01
    8,  0.1122970590E+02
    9,  0.8283287120E+01
   10,  0.8592553573E+01
   11,  0.9489225663E+01
   12,  0.8671990275E+01
   13,  0.8216051799E+01
   14,  0.8731666865E+01
   15,  0.8301744166E+01
   16,  0.8575459089E+01
   17,  0.1038899849E+02
   18,  0.9797999701E+01
   19,  0.1148127328E+02
   20,  0.8390230858E+01
   21,  0.9092397237E+01
   22,  0.8706798957E+01
   23,  0.8586693654E+01
   24,  0.8004150311E+01
   25,  0.1031471151E+02
   26,  0.1078628753E+02
   27,  0.1088481125E+02
   28,  0.1066610587E+02
   29,  0.1093920294E+02
   30,  0.8460404300E+01
   31,  0.1114255090E+02
   32,  0.9471316757E+01
   33,  0.8040453172E+01
   34,  0.1081143139E+02
   35,  0.8602324899E+01
   36,  0.1103825117E+02
   37,  0.1066303714E+02
   38,  0.8315686880E+01
   39,  0.1181445023E+02
   40,  0.1073280309E+02
   41,  0.8162726208E+01
   42,  0.1022906171E+02
   43,  0.9340481071E+01
   44,  0.1015776107E+02
   45,  0.1112741970E+02
   46,  0.9067438497E+01
   47,  0.9648100918E+01
   48,  0.8750268141E+01
   49,  0.1094076747E+02
   50,  0.9957688161E+01
   51,  0.1174587769E+02
   52,  0.1317151288E+02
   53,  0.1788501141E+02
   54,  0.2369487319E+02
   55,  0.3164713193E+02
   56,  0.3989424427E+02
   57,  0.4824698913E+02
   58,  0.5016162090E+02
   59,  0.5402172172E+02
   60,  0.6392336023E+02
   61,  0.5350171298E+02
   62,  0.5418240450E+02
   63,  0.4627969139E+02
   64,  0.3509974969E+02
   65,  0.2630515925E+02
   66,  0.2219739835E+02
   67,  0.1967284822E+02
   68,  0.1623247845E+02
   69,  0.1040660288E+02
   70,  0.1117136684E+02
   71,  0.9968635809E+01
   72,  0.1142435467E+02
   73,  0.1201124312E+02
   74,  0.1138580345E+02
   75,  0.1044635070E+02
   76,  0.8750064551E+01
   77,  0.8548584667E+01
   78,  0.9059236039E+01
   79,  0.1036638801E+02
   80,  0.1168724687E+02
   81,  0.8564922610E+01
